1,井口,亮一,イグチ,リョウイチ,男,0460400626,09011879763,etdzngyjra-lf-sryouichi83612@cjeqhtd.ets.grc,356-0023,埼玉県,ふじみ野市,中ノ島,1-14-1,,1999/01/17
2,赤木,金蔵,アカギ,キンゾウ,男,0469049058,09067855597,Kinzou_Akagi@cthy.ld,259-1302,神奈川県,秦野市,菩提,2-17-17,菩提ランド404,1965/09/20
3,中根,務,ナカネ,ツトム,男,0378798777,08091363919,tsutomu2057@jcwmvc.rq,160-0005,東京都,新宿区,愛住町,3-17,,1985/02/03
4,松島,英二,マツシマ,エイジ,男,0458198894,09011000324,eiji_matsushima@elgbyqcv.el,343-0857,埼玉県,越谷市,新越谷,1-7,,1970/01/14
5,藤原,竜,フジワラ,リュウ,男,0446934218,08081998678,ryuu_fujiwara@wtqpzii.tvr,354-0002,埼玉県,富士見市,上南畑,3-2-16,,1999/12/15
6,石塚,豊治,イシヅカ,トヨジ,男,0463188578,08031784182,toyoji4019@nnvbltz.yc,366-0021,埼玉県,深谷市,上増田,3-17-15,上増田レジデンス204,1995/01/06
7,高瀬,俊明,タカセ,トシアキ,男,0391100808,09036890804,Toshiaki_Takase@dftpqwci.ya.tb,106-0045,東京都,港区,麻布十番,4-18-2,,1978/10/31
8,内藤,篤仁,ナイトウ,アツト,男,0470854863,09018579882,atsuto0796@twloxmf.jei,289-2504,千葉県,旭市,ニ,1-11-20,ニレジデンス100,1993/11/21
9,長沢,信吉,ナガサワ,シンキチ,男,0356867761,08067025422,shinkichi211@cxoonj.pzcn.rg,106-0045,東京都,港区,麻布十番,4-17-2,麻布十番ヴィレッジ212,1975/11/12
10,神保,康司,ジンボ,コウジ,男,0461946160,08015586872,kouji4266@otsjtp.hcx,252-0208,神奈川県,相模原市中央区,矢部新田,4-8-4,コーポ矢部新田419,1992/10/02
11,大沼,繁,オオヌマ,シゲル,男,0368376947,,shigeru010@jhgnih.hpt,202-0023,東京都,西東京市,新町,1-18,,1968/12/01
